vote_average revenue
6.1 0
5.7 17000000
6.2 0
6 9000000
6 0
6 25000000
5.2 0
6.2 0
5.1 0
6.3 0
5.7 0
4.6 0
5.5 0
6.3 3
6.5 102000000
6.2 0
6.1 0
4.9 0
7.5 0
7.1 2781505847
7.7 319131050
6.2 91327197
7.3 933959197
7.6 731342744
7.3 385680446
5.8 371353001
7.1 210819611
6.9 524028679
7.3 60722734
6.4 886686817
7.1 459270619
6.8 185258983
5.6 769653595
6.5 48428063
6.3 356613439
6.5 267045765
7.1 309208309
7.1 102391382
5.6 709827462
6 177259441
5.7 302469017
6.7 317375031
5.5 75871032
6.3 205298907
6.4 242988466
7.5 46471023
7.1 124596398
5.9 413106170
6 136267476
6.6 325233863
5.7 0
6.6 93525586
5.4 183293131
7.7 47801389
7.2 126690726
5.3 33333531
5.9 34560577
6.2 20645327
6.5 0
6.1 90842646
5.3 0
5.7 155446362
7.4 9760104
5.1 292817841
5 0
6.1 150166126
5.8 31912793
6 108332743
5.5 102223269
5.6 40828540
3.6 0
7.8 3547209
5.3 171844840
6.7 43318349
6.7 27635305
6 381509870
6.6 2357852
6.5 129540499
5.9 8459458
6.5 214104620
6.3 0
5.2 31556061
6.5 41596251
4.6 40105542
5.5 186167139
5.3 443140005
5.2 3606395
5.8 114663461
6.8 63647833
6.6 87784194
4.9 76514050
5.6 8049666
6.4 91636986
6 35424826
5.4 106303988
6 29000000
7.1 36348784
4.7 0
5.9 51416464
6.5 101229792
6.1 948753
6.2 791867
5 0
5.5 36133014
5.8 45465299
6.1 29536299
5.9 68233629
6.9 27409889
6.4 31430334
6.1 22852638
5.3 12032983
5.2 12206028
6 41624046
6.4 0
6.3 10652035
7.1 754249
7.3 0
5.9 17280326
5.2 0
7.8 70000000
6 836297228
5.8 68729358
6.7 0
6.1 60462347
5.5 5210988
6.3 100086793
6.2 219103655
5.8 0
5 0
4.9 0
5.8 0
5.4 68688831
6.9 122233971
5.7 104945765
5.8 4706919
6.1 77527732
5.1 0
6.2 0
5.7 0
4.5 62357900
5.1 744816
6.2 1644755
7.4 19406406
5.3 100734718
5.3 0
6.4 0
7.8 0
5.2 92219310
4.5 199436
6.6 39041505
7.5 0
5.9 10629321
5.8 10589102
6.2 61808775
6 1017401
5.6 22942221
5.7 5802422
6.7 0
4.7 0
5.5 0
5.5 28169671
6.9 0
5.6 985117
6.8 26096852
5.5 61458982
5.6 0
6.6 163670000
6 44091067
5.8 60161391
7 0
5.7 0
5.3 875386
6.4 363164265
6.1 0
6.2 0
6.9 17436509
6.4 0
5.6 0
6.4 0
5.2 39421467
6 0
5.5 24007324
6.6 0
5.8 155545279
5.7 32474120
5.9 8786375
4.8 0
5.1 57881056
4.8 0
6.8 2277396
6 0
6.2 9444018
6.3 27412220
6.2 0
4.5 18097
5.6 42333295
5.1 0
5.7 5024782
6.5 0
7.2 0
5.9 0
6.3 867714
5.5 60000000
5.2 0
6.8 0
4 0
6 0
6 0
3.2 0
7.2 0
6.3 4440055
6.7 0
6.8 0
5.4 0
4.8 0
6.3 17164377
5.8 10848783
5.5 0
6.3 44462
5.6 0
5.3 0
5 53825515
6 0
6.9 1521261
5.6 0
5.5 0
6.6 14899417
5.7 20455276
7 95714875
7 0
6 0
7.9 1162422
6.5 31720158
7.2 0
5.6 91379051
6.2 0
5.8 1037335
6.1 0
6.7 0
5.7 0
6.6 10329747
5.7 122444772
5.9 0
6.9 0
5.3 0
4.1 12764201
5.6 73034460
6.3 0
5.9 0
5.6 0
6.6 0
5.5 73830340
6.7 113221
4.2 0
5 0
5.1 0
5.4 0
5.2 0
6.6 16633035
5.8 0
6.2 0
6.5 6149791
6.6 0
6.3 0
6.5 0
6.9 0
5.6 0
4.2 0
6.3 0
6 0
5.5 7810000
5.9 0
4.6 143191
4.8 0
3.9 0
6.1 0
6.1 0
6.2 341131793
5.4 0
6.1 0
5.7 0
3.8 4100000
7.6 0
4 0
4.6 0
5.7 0
7.4 296557
4.7 0
6.3 6670712
6.6 0
7.1 0
5.3 19258519
4.2 0
7.3 44348
7.9 0
7.2 0
6.7 0
6 0
5.4 500154
5.6 4388563
6 0
5.6 0
6.3 0
6.9 0
6.9 0
5.5 0
5.1 0
5.3 29010817
6.4 2336172
4.8 28972508
5.9 0
6 0
5.3 0
6.1 0
6.4 0
6 0
6.2 0
6.1 0
5.7 0
5.1 0
5.3 0
6.1 66456
5.4 0
6.6 0
6.5 0
5.9 0
4.9 0
5 0
5.8 0
3.1 0
5.1 0
7.2 0
5.3 27206120
4.9 0
5.7 0
4.9 0
6.3 0
5.4 0
5.9 0
4.5 0
5.5 0
3.6 0
4.2 0
5.2 0
6.9 0
7.4 0
5.1 0
4.5 0
5.3 0
5.2 0
5.8 0
4.6 0
7.2 0
6.1 0
6.1 0
5.8 9366227
6.7 0
6 7022728
6.1 0
6 0
5.5 0
5.9 18599102
5.9 0
6 2479538
6.3 0
5.3 0
4.9 134
6.3 295750
5.2 0
5.5 1007962
4.2 0
7.4 0
3.7 263941
5.6 0
4.8 0
6.5 0
5 0
4.8 0
7.6 0
5.1 0
5.5 0
5.7 0
4.1 0
6.4 0
5.3 0
6.8 0
5.8 0
7.1 0
7.4 0
5.1 6405245
4.9 0
5.1 1296971
6.3 0
4.2 0
4.4 0
5.6 0
4.6 0
6 0
5.9 0
5.7 0
3.1 0
6.7 0
6.6 43051547
6.3 0
6.5 0
4.9 0
3.7 0
6.4 39462438
5.7 0
4.7 0
5.3 0
6.5 0
5.1 0
6 7306
4.9 0
4.8 0
6.3 0
6 0
5.2 0
4.7 0
4.8 0
6.1 0
5.1 0
6.9 0
5.4 0
6.2 0
5.3 0
5.9 0
7.1 0
4.5 0
7 352810
6.5 0
5.8 0
5.6 1429299
6.4 0
7.6 0
6 0
4.5 0
6.6 0
7.4 1896244
3.4 0
5.2 0
5.8 0
6.5 0
6.6 0
4 0
7.1 0
6.9 0
4.6 0
7 0
5.9 0
4.4 56000
5.4 0
3.4 0
6 0
5.5 0
5.3 0
5.8 0
5 0
5.6 0
5.9 0
3.5 0
5 85280250
6.9 0
5.4 38610009
4.6 0
7.3 0
7.6 0
4.4 0
5.7 0
6 0
5.6 0
5.7 0
7 0
6.6 0
4.1 0
6.2 0
3.8 0
5.2 0
3.7 0
5.1 0
5.5 0
5.2 0
3.5 0
4.1 0
7.5 0
5.7 232732
4.9 0
7.6 0
4.7 0
4.5 0
6.1 0
6.1 0
6.6 0
5.7 0
5.1 0
6 0
8.3 0
7 0
6.7 20719451
5.2 0
5.5 0
6 0
6 0
6.5 10000
6.1 0
6.9 0
4.6 0
4.6 0
6.9 0
7.1 0
7.7 0
7.9 0
3.5 0
5.6 0
3.3 0
6.9 90508336
5.9 0
4.5 0
5.7 0
5.3 0
5.5 0
7.2 0
6.4 0
6 0
6.1 0
5.8 0
5.4 0
8 0
7.2 0
7 0
4.7 0
7.2 0
6.9 80
4.9 0
6.5 0
5.6 0
6.3 400654
4.2 0
4.3 0
5.9 0
6 0
5.4 0
6 0
6.9 0
6 0
4.4 0
6.6 0
4.1 0
7 0
5.5 0
4.3 0
7.9 825500000
6.6 623933331
6.3 1025467110
7.1 327803731
7.4 954305868
7.1 543513985
5.9 274470394
7.4 494878759
7.6 294804195
6.3 400062763
7.3 591794936
7.5 1063171911
6.2 293329073
6.9 35692920
6.6 74952305
6 415686217
7 96188903
6 278346189
6.1 335154643
6.1 310669540
7 252276927
5.6 232713139
5.8 215283742
6.5 0
7.1 224920315
7.2 47664559
5.4 310650585
5.8 126248813
6 226497209
6.2 167805466
6 752600867
6.5 114977104
6.2 177238796
6.5 71664962
6.2 31327899
6.1 271430189
6.5 157107755
5.9 152263880
6.9 154026136
6.8 0
5.9 698491347
6.6 321885765
4.7 318502923
6.1 170432927
4.8 0
6.7 97009150
6.5 159291809
7.4 414211549
6.5 102820008
6.7 20348249
6.1 18409891
6.1 7644937
5.9 261930431
7.4 0
5.7 204594016
6.9 12355734
5.5 136000000
6.3 29922472
6.3 94882889
5 237382724
5.7 77477008
6.8 48190704
5.8 49830607
6.3 2995811
5.6 216485654
5.4 36993168
6.3 0
5.8 136150434
6.1 357852395
6.2 211780824
6.1 3453043
6.1 52615806
6.5 60222298
6.9 6491240
6.8 51148651
5.5 115664037
6.2 23580000
7.1 9190869
5.9 90029656
7.2 0
4.4 10539000
5.3 0
5.4 0
7.6 0
4.3 80547866
7.6 7871522
5.7 98159963
5 67918658
5.9 3317662
5.5 288347692
6 32005248
6 93246388
5.9 64572262
6.6 0
6.6 24145613
7.2 1755212
6.5 140073390
6.1 69055695
6.8 89519773
6.4 4882577
6 42045846
6.2 23081726
7.3 0
5.7 177512032
6.7 9455232
7.6 6629178
5.6 65464324
6.7 0
5.5 55583804
6.2 0
6.3 4242978
7.2 4430765
6.5 105610124
5.7 6814789
6.8 5332926
7.1 0
4.7 0
5.5 851517
4.9 9479718
5.8 75700498
6.2 572809
5.2 83188165
6.1 58785180
7 6732980
5.8 16178959
5.4 67738090
5.2 112462508
5.1 0
6.4 24188922
5.9 498974
6.6 7000000
6.5 19152480
5.4 86387857
5.7 36699403
4.6 0
5.8 0
6.4 34705850
5.7 0
4.7 66821036
6.1 45636368
5.8 0
5.9 0
6.5 0
6.7 13831503
6.9 0
5.8 46488
5 112483764
5.5 0
5.2 6110000
6.2 0
5.4 0
5.9 6153967
4.9 48668907
6.5 0
7.2 0
5.7 0
8 8212430
3.6 0
5.6 98017
5.3 3826
5.4 45236543
5.9 49779728
5.6 265318
5.9 0
5.8 204940
6.1 0
5.5 4644108
5.5 105197635
5.1 0
5.2 19829957
5 967000
5 967000
5.9 15478800
4.8 0
5.7 49050886
5.4 0
5.6 88335
6.2 382946
6.7 1000000
4.9 83761844
7.1 6467348
6 538000
6.1 0
5.8 3065860
5.8 134748021
6.7 0
6.5 0
5.6 0
6.2 871279
6.3 0
6 0
6.7 0
5.3 8020
5.6 0
6.8 0
4.7 0
6.7 18124262
6.5 0
5.8 2614773
5.5 0
6.1 54956140
5.9 0
5.2 0
6.9 0
6.6 5129058
6.2 0
5.5 39300000
5.8 0
6.7 0
5 0
5.3 0
7.7 430041
5.4 0
6 0
5.4 0
5.1 201584141
6 0
7 0
5.8 18144030
6.4 0
3.2 0
6 21520719
7 0
6.6 324138
